--------- beginning of main
01-06 15:26:17.532  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586467, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=938320378 }
01-06 15:26:17.674  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586609, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=166791358 }
01-06 15:26:17.689  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586624, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=987940206 }
01-06 15:26:17.694  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586630, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=127304531 }
01-06 15:26:17.704  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586640, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=903043411 }
01-06 15:26:17.715  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586650, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=925836968 }
01-06 15:26:17.731  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=160.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586667, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=668378337 }
01-06 15:26:17.735  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586670, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=570722968 }
01-06 15:26:17.745  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586680, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=308839816 }
01-06 15:26:17.755  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1386.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586691, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=56523065 }
01-06 15:26:17.766  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1385.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586701, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=322881041 }
01-06 15:26:17.779  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1385.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586715, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=485296600 }
01-06 15:26:17.786  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1384.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586721, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=898269223 }
01-06 15:26:17.796  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1384.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586731, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=566874483 }
01-06 15:26:17.806  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1384.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586741, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=147624992 }
01-06 15:26:17.823  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1384.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586759, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=284003122 }
01-06 15:26:17.827  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1383.0, y[0]=161.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586762, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=872130431 }
01-06 15:26:17.837  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1382.0, y[0]=160.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586772, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=540132995 }
01-06 15:26:17.847  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1382.0, y[0]=160.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586782, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=87343375 }
01-06 15:26:17.857  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1382.0, y[0]=160.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586792, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=472327980 }
01-06 15:26:17.871  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1382.0, y[0]=160.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586807, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=230041300 }
01-06 15:26:17.877  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1382.0, y[0]=160.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586813, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=653714550 }
01-06 15:26:17.887  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1382.0, y[0]=159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586823, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=606490055 }
01-06 15:26:17.898  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1381.0, y[0]=159.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586833, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=432998842 }
01-06 15:26:17.915  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1381.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586851, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=258764011 }
01-06 15:26:17.918  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586853, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=523542952 }
01-06 15:26:17.928  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586863, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=594331045 }
01-06 15:26:17.938  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586873, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=481878355 }
01-06 15:26:17.948  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586884, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=443331683 }
01-06 15:26:17.963  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586898, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=847276406 }
01-06 15:26:17.969  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=158.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586904, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=969218273 }
01-06 15:26:17.979  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586914, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=32962751 }
01-06 15:26:17.989  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1380.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586924, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=254892177 }
01-06 15:26:18.008  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1379.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586943, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=808523681 }
01-06 15:26:18.010  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586945, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=328709364 }
01-06 15:26:18.020  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586955, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=34786315 }
01-06 15:26:18.030  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586965, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=83668225 }
01-06 15:26:18.040  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586975, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=116810459 }
01-06 15:26:18.053  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586989, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=8711703 }
01-06 15:26:18.061  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5586996, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=647484351 }
01-06 15:26:18.071  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=157.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587006, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=269057144 }
01-06 15:26:18.081  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587016, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=296296411 }
01-06 15:26:18.099  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587035, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=74740843 }
01-06 15:26:18.111  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587046, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=693805851 }
01-06 15:26:18.121  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1378.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587057, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=66466232 }
01-06 15:26:18.131  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1377.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587067, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=974231420 }
01-06 15:26:18.146  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1377.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587081, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=843149192 }
01-06 15:26:18.152  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1377.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587087, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=427728861 }
01-06 15:26:18.162  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1377.0, y[0]=156.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587097, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=705389942 }
01-06 15:26:18.172  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1381.0, y[0]=152.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587107, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=381023119 }
01-06 15:26:18.191  1234  1978 D MicroXrInputService: #inputFilter - filterInputEvent: MotionEvent { action=ACTION_MOVE, actionButton=0, id[0]=0, x[0]=1382.0, y[0]=150.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, classification=NONE, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=5587127, downTime=5585309, deviceId=4, source=0x300008, displayId=-1, eventId=461125255 }
